Quote,Author,Tags
"The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.",Albert Einstein,"change, deep-thoughts, thinking, world"
"It is our choices, Harry, that show what we truly are, far more than our abilities.",J.K. Rowling,"abilities, choices"
"There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.",Albert Einstein,"inspirational, life, live, miracle, miracles"
"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.",Jane Austen,"aliteracy, books, classic, humor"
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",Marilyn Monroe,"be-yourself, inspirational"
"Try not to become a man of success. Rather become a man of value.",Albert Einstein,"adulthood, success, value"
"It is better to be hated for what you are than to be loved for what you are not.",André Gide,"life, love"
"I have not failed. I've just found 10,000 ways that won't work.",Thomas A. Edison,"edison, failure, inspirational, paraphrased"
"A woman is like a tea bag; you never know how strong it is until it's in hot water.",Eleanor Roosevelt,"inspirational, life"
"A day without sunshine is like, you know, night.",Steve Martin,"humor, obvious, simile"
"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.",J.K. Rowling,"courage, friends"
"If you can't explain it to a six year old, you don't understand it yourself.",Albert Einstein,"simplicity, understand"
"I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.",Dr. Seuss,"fantasy"
"I may not have gone where I intended to go, but I think I have ended up where I needed to be.",Douglas Adams,"life, navigation"
"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",Elie Wiesel,"activism, apathy, hate, indifference, inspirational, love, opposite, philosophy"
"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",Friedrich Nietzsche,"friendship, lack-of-friendship, lack-of-love, love, marriage, unhappy-marriage"
"Good friends, good books, and a sleepy conscience: this is the ideal life.",Mark Twain,"books, contentment, friends, friendship, life"
"Life is what happens to us while we are making other plans.",Allen Saunders,"fate, life, planning, plans"
"I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.",Pablo Neruda,"love, poetry"
"For every minute you are angry you lose sixty seconds of happiness.",Ralph Waldo Emerson,"happiness"
"If you judge people, you have no time to love them.",Mother Teresa,"love"
"Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.",Garrison Keillor,"humor, religion"
"Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.",Jim Henson,"humor"
"Today you are You, that is truer than true. There is no one alive who is Youer than You.",Dr. Seuss,"comedy, life, yourself"
